title,video_id,published_at,channel_title
Trump sues Iowa newspaper over poll that showed him losing,PY7O8P7ljNw,2024-12-18T01:30:14Z,CNN
Merkel shares her impression of Trump when he was first elected,HFXRUNsK9Nk,2024-12-03T19:25:07Z,CNN
‘Brain-dead’ patient woke up in the OR. But a witness says an organ procurement group kept ‘pushing’,LimqrEkVsq0,2024-11-26T21:07:05Z,CNN
Why are young men running to support President-elect Trump? Analysts discuss,u3m3gRtMAuk,2024-11-20T11:30:36Z,CNN
Bernie Sanders shares scathing reaction to Trump&#39;s win,AHyFar_R2K0,2024-11-10T19:54:23Z,CNN
See the moment Lichtman realized his election prediction was wrong,pDMF90S7HwU,2024-11-08T11:30:34Z,CNN
Democratic strategist issues ‘hard truth’ to party members after losing election,hEJDcAKNr7o,2024-11-07T18:30:15Z,CNN
&#39;He&#39;s disrespected our president&#39;: Sen. Kennedy on Putin,UQcxFQj5C_M,2025-04-29T17:22:42Z,CNN
&#39;There&#39;s no way to sugarcoat it&#39;: CNN&#39;s Harry Enten on new Trump polling numbers,dRESxcAMkXY,2025-04-27T13:01:57Z,CNN
First images of Pope Francis&#39; tomb at Rome’s Basilica di Santa Maria Maggiore,9Re5PB6MoDk,2025-04-27T12:50:28Z,CNN
Watch the highlights of the funeral of Pope Francis,IedZqBfaoLo,2025-04-26T14:30:24Z,CNN
Harvard&#39;s lawsuit against the Trump admin sets up a titanic clash over academic freedom,Iwvk8-YYjao,2025-04-22T19:36:54Z,CNN
Harvard sues Trump administration,aKOwO-307_I,2025-04-21T23:58:45Z,CNN
Pastor pushes for longer Target boycott,bXI3bZyJvFI,2025-04-21T23:20:16Z,CNN
Former president of Columbia University on Trump’s ‘campaign of intimidation’,60GmnlFtHP4,2025-04-20T19:30:01Z,CNN
This area of South Dakota voted for Trump by roughly 70%. Here&#39;s what they think now,Wsn1baT3WaU,2025-04-17T13:49:23Z,CNN
"Scott Jennings, Lulu Navarro Garcia spar over Trump&#39;s threats to Harvard",ngDBH8utpUE,2025-04-15T21:17:10Z,CNN
Trump threatens to tax Harvard as a political entity,aa0_HrAglEo,2025-04-15T18:51:10Z,CNN
Anderson Cooper reacts to Naval Academy&#39;s book purge,H5XEDeecGEg,2025-04-15T00:06:38Z,CNN
&#39;I never thought I was going to lose this much money&#39;: Trump voter amid tariffs,kDtDbo3fvM0,2025-04-11T13:57:42Z,CNN
Graphic video shows the moment helicopter plunges into the Hudson River,ChRJz0XB0fw,2025-04-11T01:23:37Z,CNN
Sanders attacks Trump&#39;s DEI crackdown,mtQ3VdPTtGI,2025-04-10T03:35:17Z,CNN
&#39;They don&#39;t give a damn about you&#39;: Bernie Sanders issues warning to Americans,RwqRP1SnY_g,2025-04-10T02:40:00Z,CNN
‘Bad math on steroids’: Democratic senator berates Trump trade official over tariffs,lajsxV5zH2s,2025-04-08T19:30:06Z,CNN
Attorney who resigned to protest Trump&#39;s law firm deals speaks out,__jAHWFfZHw,2025-04-08T01:23:26Z,CNN
Obama and Harris publicly rebuke Trump’s second term actions,ziToSKxklU8,2025-04-04T15:47:55Z,CNN
Europe to Trump: Prepare for retaliation against your tariffs,g9sEDtxeLVA,2025-04-01T14:27:21Z,CNN
Toure: Targeting African American museum makes me want to cry,RMqWxv1VLgA,2025-03-29T14:45:01Z,CNN
MAGA voter sends message to Trump in CNN interview,f-FE3XxsOI4,2025-03-28T13:19:29Z,CNN
Van Jones: Crockett&#39;s &#39;Hot Wheels&#39; insult is wrong move for Dems,Y2FaOyfuoec,2025-03-26T10:56:52Z,CNN
Trump’s DEI Data Purge,LINzMqpPuyg,2025-03-26T08:43:46Z,CNN
‘Shocking’: See Buttigieg&#39;s reaction to Trump admin.&#39;s group chat scandal,JaBK1z0b4og,2025-03-25T11:36:08Z,CNN
Hear what Trump told Stephen A. Smith before running for president in 2016,FUCpZXw62OI,2025-03-21T23:15:49Z,CNN
Hear what Trump told Stephen A. Smith before running for President in 2016,6eL--Rp0Wzw,2025-03-21T22:49:20Z,CNN
Anderson shares Survivor stories lost in the Pentagon purge,6CIx4X1Cp4A,2025-03-20T03:24:17Z,CNN
