title,video_id,published_at,channel_title
&#39;The Five&#39;: Why Elon doesn&#39;t want to leave DOGE,54iy9xHziBY,2025-05-01T22:30:06Z,Fox
Elon Musk on future of DOGE,DTAeIF3_wTw,2025-05-01T20:15:00Z,Fox
&#39;TRAP!&#39;: Outrage over arrest of pro-Palestinian protester at final citizenship interview,TSjnMAs9PWc,2025-04-30T19:00:33Z,Fox
"Elon Musk exits DOGE, jokes about leftists &#39;burning my cars&#39;",f0u6T1OXdhk,2025-04-30T18:15:05Z,Fox
&#39;PROPAGANDA MILLS&#39;: Harvard law professor emeritus argues the university is &#39;cheating&#39;,EpYu8oFgCpk,2025-04-28T04:00:13Z,Fox
Harvard to lose more funding amid concerns over antisemitic incidents,zCIwyFPK_Zc,2025-04-28T01:00:52Z,Fox
&#39;ISLANDS OF TOTALITARIANISM&#39;: Charlie Kirk&#39;s take on campus ideologies,hnYB6Dl14Ys,2025-04-27T12:45:09Z,Fox
Lara Trump: This is a fight for our future,py53muSR5WY,2025-04-27T12:01:29Z,Fox
China eases tariffs as trade fight with Trump admin heats up,qozD-2jjlS4,2025-04-27T03:00:56Z,Fox
Pam Bondi details judge&#39;s actions before arrest: &#39;Can&#39;t make this up&#39;,pHXo18bFo64,2025-04-25T18:00:50Z,Fox
"Harvard&#39;s feud could start this trend, predicts GOP gubernatorial candidate",3rBlaHMMT_k,2025-04-25T09:45:00Z,Fox
‘WORST OF THE WORST’: Trump continues fight to take on elite universities,iQfu6z-mgNw,2025-04-25T06:45:04Z,Fox
Leavitt: Schools that receive federal dollars should abide by federal law #shorts #trump #harvard,1RpEE6k29Bw,2025-04-22T19:59:26Z,Fox
White House fires back against Harvard lawsuit: &#39;Gravy train... coming to an end&#39;,314_v3875Mo,2025-04-22T12:00:09Z,Fox
Harvard SUES Trump admin over &#39;unlawful&#39; funding freezes,aLyMcXCDdlQ,2025-04-22T11:00:02Z,Fox
Failla: We&#39;ve lost the plot and it&#39;s embarrassing,0ix6JMZ7MHY,2025-04-21T17:45:00Z,Fox
Comer denies Dems visit to El Salvador: &#39;We&#39;re not going to spend a penny of taxpayer dollars&#39;,u2qDTf9QfAY,2025-04-20T22:15:02Z,Fox
CAMPUS CRACKDOWN: Trump WH does an about face over Harvard demands,ruMyCEMDneg,2025-04-19T20:30:13Z,Fox
Steve Moore: ‘Switchboards are lit up’ as world leaders call Trump,GJ1uUefDusQ,2025-04-19T13:45:03Z,Fox
Blue state&#39;s anti-Trump lawfare fund faces pushback,f3Qe9a189AA,2025-04-19T09:30:31Z,Fox
Trump administration demands Harvard turn over info on foreign donations,TnjFJZOXl_0,2025-04-18T21:15:01Z,Fox
Trump confident in tariff deal with China: &#39;That&#39;s gonna be it&#39;,WZLxDZ5A-2Y,2025-04-18T20:30:05Z,Fox
Gutfeld: Who let Biden play with the matches?,3qTzbszNpew,2025-04-17T13:00:07Z,Fox
Longtime Dem adviser goes off on far left: Headed for a &#39;ditch!&#39;,vN0i2i7up0E,2025-04-16T20:15:03Z,Fox
Leavitt: Trump wants Harvard to apologize over antisemitism #shorts #trump #harvard #foxnews #news,62EBjpf0o6Y,2025-04-15T22:35:53Z,Fox
"Harvard defies Trump admin, faces $2 billion funding freeze #harvard #trump #campusprotests #shorts",_CVgacW2dNg,2025-04-15T14:15:13Z,Fox
"BREAKING: Harvard defies Trump admin, faces $2 BILLION funding freeze",kj8cneOkLdM,2025-04-15T13:15:06Z,Fox
"&#39;DEFUND ACROSS THE BOARD&#39;: Higher education has &#39;lost its way,&#39; congresswoman argues",Vsfd5tQSo5c,2025-04-15T06:00:20Z,Fox
‘The Five’: Trump flexes his tariff muscle,rVdQC6dXlQw,2025-04-14T21:45:02Z,Fox
"Republicans clear MAJOR hurdle advancing Trump&#39;s &#39;big, beautiful bill&#39;",tWksr5_SmEI,2025-04-14T18:00:49Z,Fox
Bill Maher shocked by Trump meeting as dinner guests share new details,qIq1xLzcBC0,2025-04-14T15:30:34Z,Fox
‘Good riddance’: Noem praises judge’s decision on Mahmoud Khalil,kZF3QlLP_DI,2025-04-12T14:01:00Z,Fox
&#39;What&#39;s going on at Harvard?!&#39;: Trump knocks Ivy League school for going ‘woke’ #shorts #trump,LgQhTykAbkw,2025-04-10T01:00:17Z,Fox
China raises tariffs as tensions heat up #tariffs  #trump  #china #trade #tradewar #news #foxnews,HPe3Sg-SMzM,2025-04-09T14:30:12Z,Fox
Karoline Leavitt on Elon Musk-Navarro spat: &#39;Boys will be boys&#39; #shorts #trading #trump #whitehouse,Sc9lOErvJjc,2025-04-08T20:37:27Z,Fox
Peter Navarro predicts stocks will ‘go so bullish’,GB0xHWSpZ74,2025-04-08T08:30:08Z,Fox
"&#39;NATIONAL EMERGENCY&#39;: Trump tariffs are not just a negotiation tactic, says WH counselor",mDXoCxa0GV8,2025-04-03T05:30:17Z,Fox
Trump’s education secretary spotlights $3 trillion worth of questionable spending,LuBiLuPK8_c,2025-03-30T19:45:00Z,Fox
WH: Activist judges making clear effort to undermine Trump&#39;s agenda,0YEeN9g7b4o,2025-03-19T19:48:28Z,Fox
Karoline Leavitt takes questions as legal battle intensifies over deportations,nL9bWCGU938,2025-03-19T18:04:16Z,Fox
